,school_name,address,postal_code,dgp_code,zone_code,cluster_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,sch_lat,sch_lon,dist_centre,type_primary,type_secondary,type_juniorcollege,type_polytechnic,type_university
60,PRINCESS ELIZABETH PRIMARY SCHOOL,30 BUKIT BATOK WEST AVENUE 3,659163,BUKIT BATOK,WEST,WEST 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3492035,103.7410196,14.2721,1,0,0,0,0
61,DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31,659441,BUKIT BATOK,WEST,WEST 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3591797,103.7484721,14.1905,1,0,0,0,0
62,BEDOK GREEN PRIMARY SCHOOL,1 BEDOK SOUTH AVE 2,469317,BEDOK,EAST,EAST 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3234459,103.937879,10.5647,1,0,0,0,0
63,LIANHUA PRIMARY SCHOOL,2 BUKIT BATOK STREET 52,659243,BUKIT BATOK,WEST,WEST 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3542419,103.7541658,13.3554,1,0,0,0,0
64,ZHONGHUA PRIMARY SCHOOL,12 SERANGOON AVENUE 4,556095,SERANGOON,SOUTH,SOUTH 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3602033,103.8697624,8.7268,1,0,0,0,0
65,PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD,768687,YISHUN,NORTH,NORTH 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4172334,103.8304171,15.0148,1,0,0,0,0
66,KEMING PRIMARY SCHOOL,90 BUKIT BATOK EAST AVENUE 6,659762,BUKIT BATOK,WEST,WEST 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3455285,103.7564494,12.5979,1,0,0,0,0
67,CHANGKAT PRIMARY SCHOOL,11 SIMEI ST 3,529896,TAMPINES,EAST,EAST 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3402316,103.9520801,12.8201,1,0,0,0,0
68,ZHENGHUA PRIMARY SCHOOL,9 FAJAR ROAD,679002,BUKIT PANJANG,WEST,WEST 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3795489,103.7693135,14.0254,1,0,0,0,0
69,SOUTH VIEW PRIMARY SCHOOL,6 CHOA CHU KANG CENTRAL,689762,CHOA CHU KANG,WEST,WEST 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3816666,103.7462758,15.974,1,0,0,0,0
70,PASIR RIS PRIMARY SCHOOL,5 PASIR RIS STREET 21,518968,PASIR RIS,EAST,EAST 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3724187,103.9628072,15.8158,1,0,0,0,0
71,CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2,689905,CHOA CHU KANG,WEST,WEST 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3777589,103.7418329,16.0533,1,0,0,0,0
72,GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD,677744,BUKIT PANJANG,WEST,WEST 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3858892,103.7677945,14.6742,1,0,0,0,0
73,FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD,217567,KALLANG,SOUTH,SOUTH 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3123686,103.8507662,3.1676,1,0,0,0,0
74,BUKIT TIMAH PRIMARY SCHOOL,111 LORONG KISMIS,598112,BUKIT TIMAH,WEST,WEST 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3375186,103.7672433,11.1065,1,0,0,0,0
75,LAKESIDE PRIMARY SCHOOL,161 CORPORATION WALK,618310,JURONG WEST,WEST,WEST 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.338204,103.7180895,16.0179,1,0,0,0,0
76,BEACON PRIMARY SCHOOL,36 BUKIT PANJANG RING ROAD,679944,BUKIT PANJANG,WEST,WEST 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3839493,103.7736319,14.1003,1,0,0,0,0
77,INNOVA PRIMARY SCHOOL,80 WOODLANDS DRIVE 17,737888,WOODLANDS,NORTH,NORTH 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.428967,103.7906075,17.4989,1,0,0,0,0
78,GREENDALE PRIMARY SCHOOL,50 EDGEDALE PLAINS,828848,PUNGGOL,NORTH,NORTH 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3964876,103.912341,14.2338,1,0,0,0,0
79,ENDEAVOUR PRIMARY SCHOOL,10 ADMIRALTY LINK,757521,SEMBAWANG,NORTH,NORTH 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4540384,103.8174362,19.2998,1,0,0,0,0
80,NORTH VISTA PRIMARY SCHOOL,20 COMPASSVALE LINK,544974,SENG KANG,NORTH,NORTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3828224,103.8959619,12.0629,1,0,0,0,0
81,ANCHOR GREEN PRIMARY SCHOOL,31 ANCHORVALE DRIVE,544969,SENG KANG,NORTH,NORTH 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3903701,103.8871654,12.4891,1,0,0,0,0
82,HORIZON PRIMARY SCHOOL,61 EDGEDALE PLAINS,828819,PUNGGOL,NORTH,NORTH 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.39955,103.9134049,14.5898,1,0,0,0,0
83,CANTONMENT PRIMARY SCHOOL,1 CANTONMENT CLOSE,88256,BUKIT MERAH,SOUTH,SOUTH 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.2754725,103.8399626,1.5889,1,0,0,0,0
84,FRONTIER PRIMARY SCHOOL,20 JURONG WEST STREET 61,648200,JURONG WEST,WEST,WEST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.336413,103.6997017,17.8621,1,0,0,0,0
85,WESTWOOD PRIMARY SCHOOL,1 JURONG WEST STREET 73,649188,JURONG WEST,WEST,WEST 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3471846,103.7005342,18.2035,1,0,0,0,0
86,PUNGGOL GREEN PRIMARY SCHOOL,98 PUNGGOL WALK,828772,PUNGGOL,EAST,EAST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4018722,103.8988013,14.137,1,0,0,0,0
87,PUNGGOL VIEW PRIMARY SCHOOL,9 PUNGGOL PLACE,828845,PUNGGOL,EAST,EAST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4051458,103.9051564,14.7471,1,0,0,0,0
88,SENGKANG GREEN PRIMARY SCHOOL,15 FERNVALE ROAD,797636,SENG KANG,EAST,EAST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3928461,103.8752177,12.4017,1,0,0,0,0
89,SPRINGDALE PRIMARY SCHOOL,71 ANCHORVALE LINK,544799,SENG KANG,EAST,EAST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3946701,103.8899262,13.0409,1,0,0,0,0
90,PALM VIEW PRIMARY SCHOOL,150 COMPASSVALE BOW,544822,SENG KANG,NORTH,NORTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3837692,103.8913547,11.9599,1,0,0,0,0
91,RIVERSIDE PRIMARY SCHOOL,110 WOODLANDS CRESCENT,737803,WOODLANDS,NORTH,NORTH 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4470473,103.801832,18.9687,1,0,0,0,0
92,WEST SPRING PRIMARY SCHOOL,60 BUKIT PANJANG RING ROAD,679946,BUKIT PANJANG,WEST,WEST 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3894415,103.7661957,15.0928,1,0,0,0,0
93,ALEXANDRA PRIMARY SCHOOL,2A PRINCE CHARLES CRESCENT,159016,BUKIT MERAH,SOUTH,SOUTH 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.2913344,103.8244247,3.1223,1,0,0,0,0
94,NORTHOAKS PRIMARY SCHOOL,61 SEMBAWANG DRIVE,757622,SEMBAWANG,NORTH,NORTH 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4566078,103.814197,19.653,1,0,0,0,0
95,ANGSANA PRIMARY SCHOOL,3 TAMPINES STREET 22,529366,TAMPINES,EAST,EAST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3485597,103.9518081,13.272,1,0,0,0,0
96,PUNGGOL COVE PRIMARY SCHOOL,52 SUMANG WALK,828674,PUNGGOL,EAST,EAST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4115989,103.8988046,15.1467,1,0,0,0,0
97,OASIS PRIMARY SCHOOL,71 EDGEFIELD PLAINS,828716,PUNGGOL,EAST,EAST 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4046241,103.9111206,14.9756,1,0,0,0,0
98,WATERWAY PRIMARY SCHOOL,70 PUNGGOL DRIVE,828802,PUNGGOL,EAST,EAST 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.398828,103.9186216,14.8029,1,0,0,0,0
99,FERN GREEN PRIMARY SCHOOL,70 FERNVALE LINK,797538,SENG KANG,EAST,EAST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3972697,103.8803303,13.0112,1,0,0,0,0
100,FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH,319252,TOA PAYOH,SOUTH,SOUTH 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.340323,103.8555299,6.2919,1,0,0,0,0
101,NEW TOWN PRIMARY SCHOOL,300 TANGLIN HALT ROAD,148812,QUEENSTOWN,SOUTH,SOUTH 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.2996418,103.8001023,5.9777,1,0,0,0,0
102,BOON LAY GARDEN PRIMARY SCHOOL,20 BOON LAY DRIVE,649930,JURONG WEST,WEST,WEST 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3431785,103.7132809,16.7246,1,0,0,0,0
103,MARSILING PRIMARY SCHOOL,31 WOODLANDS CENTRE ROAD,738927,WOODLANDS,NORTH,NORTH 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.433839,103.773643,18.7909,1,0,0,0,0
104,PEI TONG PRIMARY SCHOOL,15 CLEMENTI AVENUE 5,129857,CLEMENTI,SOUTH,SOUTH 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3161977,103.7675997,9.9976,1,0,0,0,0
105,YUHUA PRIMARY SCHOOL,158 JURONG EAST STREET 24,609558,JURONG EAST,WEST,WEST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3428023,103.7411058,13.9148,1,0,0,0,0
106,FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD,469680,BEDOK,EAST,EAST 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.329806,103.9317103,10.2776,1,0,0,0,0
107,YU NENG PRIMARY SCHOOL,56 BEDOK NORTH ST 3,469623,BEDOK,EAST,EAST 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.333889,103.9321503,10.5522,1,0,0,0,0
108,XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8,538784,HOUGANG,NORTH,NORTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3713955,103.8830808,10.3463,1,0,0,0,0
109,YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3,556108,SERANGOON,SOUTH,SOUTH 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3489738,103.8683495,7.4767,1,0,0,0,0
110,JUYING PRIMARY SCHOOL,31 JURONG WEST STREET 91,649037,JURONG WEST,WEST,WEST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3390226,103.6877696,19.2116,1,0,0,0,0
111,JUNYUAN PRIMARY SCHOOL,2 TAMPINES STREET 91,528906,TAMPINES,EAST,EAST 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3478705,103.9392205,12.074,1,0,0,0,0
112,NORTHLAND PRIMARY SCHOOL,15 YISHUN AVENUE 4,769026,YISHUN,NORTH,NORTH 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4209699,103.8409284,15.2915,1,0,0,0,0
113,NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVE 4,769028,YISHUN,NORTH,NORTH 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4163066,103.8387941,14.7952,1,0,0,0,0
114,XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91,649036,JURONG WEST,WEST,WEST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3425474,103.6879503,19.3214,1,0,0,0,0
115,QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81,738525,WOODLANDS,NORTH,NORTH 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.442036,103.7883398,18.9398,1,0,0,0,0
116,GUANGYANG PRIMARY SCHOOL,6 BISHAN STREET 12,579806,BISHAN,SOUTH,SOUTH 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3456901,103.8494532,6.8767,1,0,0,0,0
117,TAMPINES NORTH PRIMARY SCHOOL,30 TAMPINES AVENUE 9,529565,TAMPINES,EAST,EAST 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3604764,103.9487258,13.7637,1,0,0,0,0
118,ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52,518866,PASIR RIS,EAST,EAST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3745127,103.9451281,14.4907,1,0,0,0,0
119,AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11,768643,YISHUN,NORTH,NORTH 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4331527,103.8329424,16.7291,1,0,0,0,0
120,NORTH VIEW PRIMARY SCHOOL,210 YISHUN AVENUE 6,768960,YISHUN,NORTH,NORTH 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4275233,103.8481908,15.9794,1,0,0,0,0
121,PIONEER PRIMARY SCHOOL,23 JURONG WEST STREET 81,649076,JURONG WEST,WEST,WEST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3488362,103.6950038,18.8418,1,0,0,0,0
122,PUNGGOL PRIMARY SCHOOL,61 HOUGANG AVENUE 8,538787,HOUGANG,SOUTH,SOUTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3777945,103.8945069,11.4867,1,0,0,0,0
123,PARK VIEW PRIMARY SCHOOL,60 PASIR RIS DRIVE 1,519524,PASIR RIS,EAST,EAST 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3773807,103.9395417,14.2816,1,0,0,0,0
124,ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE,738907,WOODLANDS,NORTH,NORTH 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,PRIMARY,No,No,No,No,1.4426348,103.8000401,18.5602,1,0,0,0,0
125,KRANJI PRIMARY SCHOOL,11 CHOA CHU KANG STREET 54,689189,CHOA CHU KANG,WEST,WEST 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3935605,103.7473627,16.8189,1,0,0,0,0
126,SENG KANG PRIMARY SCHOOL,21 COMPASSVALE WALK,545166,SENG KANG,NORTH,NORTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3894974,103.8997671,12.9138,1,0,0,0,0
127,WOODLANDS RING PRIMARY SCHOOL,11 WOODLANDS RING ROAD,738240,WOODLANDS,NORTH,NORTH 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4349523,103.7974357,17.8447,1,0,0,0,0
128,WEST VIEW PRIMARY SCHOOL,31 SENJA ROAD,677742,BUKIT PANJANG,WEST,WEST 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3836758,103.7602404,15.0383,1,0,0,0,0
129,WHITE SANDS PRIMARY SCHOOL,2 PASIR RIS ST 11,519075,PASIR RIS,EAST,EAST 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3655571,103.9609189,15.1836,1,0,0,0,0
130,UNITY PRIMARY SCHOOL,21 CHOA CHU KANG CRESCENT,688268,CHOA CHU KANG,WEST,WEST 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4028548,103.7468226,17.6227,1,0,0,0,0
131,CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE,757714,SEMBAWANG,NORTH,NORTH 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4513047,103.8158395,19.0379,1,0,0,0,0
132,RIVERVALE PRIMARY SCHOOL,80 RIVERVALE DRIVE,545092,SENG KANG,NORTH,NORTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.39341,103.9045595,13.5345,1,0,0,0,0
133,JURONG WEST PRIMARY SCHOOL,30 JURONG WEST ST 61,648368,JURONG WEST,WEST,WEST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3391752,103.6988037,18.0588,1,0,0,0,0
134,EAST SPRING PRIMARY SCHOOL,31 TAMPINES ST 33,529258,TAMPINES,EAST,EAST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.352684,103.9616768,14.4444,1,0,0,0,0
135,EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE,738908,WOODLANDS,NORTH,NORTH 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4441506,103.7945812,18.915,1,0,0,0,0
136,COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE ST,545091,SENG KANG,NORTH,NORTH 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3944453,103.8978122,13.3308,1,0,0,0,0
137,WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14,738079,WOODLANDS,NORTH,NORTH 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4331034,103.7906044,17.9242,1,0,0,0,0
138,SEMBAWANG PRIMARY SCHOOL,10 SEMBAWANG DRIVE,757715,SEMBAWANG,NORTH,NORTH 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4412661,103.8256402,17.7384,1,0,0,0,0
139,CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVE 4,689814,CHOA CHU KANG,WEST,WEST 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3800081,103.7362254,16.6911,1,0,0,0,0
140,NORTH SPRING PRIMARY SCHOOL,1 RIVERVALE STREET,545088,SENG KANG,NORTH,NORTH 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3870615,103.9032027,12.8344,1,0,0,0,0
141,YEW TEE PRIMARY SCHOOL,10 CHOA CHU KANG ST 64,689100,CHOA CHU KANG,WEST,WEST 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.396766,103.750986,16.8087,1,0,0,0,0
142,HOUGANG PRIMARY SCHOOL,1 HOUGANG ST 93,534238,HOUGANG,NORTH,NORTH 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3773825,103.8808073,10.8968,1,0,0,0,0
143,MERIDIAN PRIMARY SCHOOL,20 PASIR RIS ST 71,518798,PASIR RIS,EAST,EAST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3755283,103.9348891,13.7789,1,0,0,0,0
144,GREENWOOD PRIMARY SCHOOL,11 WOODLANDS  DR  62,737942,WOODLANDS,NORTH,NORTH 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4398996,103.8047256,18.1146,1,0,0,0,0
145,ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVE 9,569785,ANG MO KIO,NORTH,NORTH 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3842643,103.8413921,11.2199,1,0,0,0,0
146,WELLINGTON PRIMARY SCHOOL,10 WELLINGTON CIRCLE,757702,SEMBAWANG,NORTH,NORTH 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4519159,103.8223061,18.9682,1,0,0,0,0
147,EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS,828869,PUNGGOL,NORTH,NORTH 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4000914,103.9078476,14.3628,1,0,0,0,0
148,WEST GROVE PRIMARY SCHOOL,1 JURONG WEST ST 72,649223,JURONG WEST,WEST,WEST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3448791,103.6992864,18.2347,1,0,0,0,0
149,CASUARINA PRIMARY SCHOOL,30 PASIR RIS ST 41,518935,PASIR RIS,EAST,EAST 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3724606,103.9570203,15.3205,1,0,0,0,0
150,CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVE 3,129903,CLEMENTI,WEST,WEST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3150632,103.7631445,10.4188,1,0,0,0,0
151,TANJONG KATONG PRIMARY SCHOOL,860 NEW UPPER CHANGI ROAD,467353,MARINE PARADE,EAST,EAST 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,DOUBLE SESSION,PRIMARY,No,No,No,No,1.3052818,103.9001283,5.9074,1,0,0,0,0
152,ANDERSON SECONDARY SCHOOL,10 ANG MO KIO STREET 53,569206,ANG MO KIO,NORTH,NORTH 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,1.37434,103.8515541,10.0596,0,1,0,0,0
153,BARTLEY SECONDARY SCHOOL,10 JALAN BUNGA RAMPAI,538403,TOA PAYOH,SOUTH,SOUTH 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,1.3399542,103.8828062,7.141,0,1,0,0,0
154,BEATTY SECONDARY SCHOOL,1 TOA PAYOH NORTH,318990,TOA PAYOH,SOUTH,SOUTH 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,1.3417707,103.8522856,6.4375,0,1,0,0,0
155,CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE,349692,TOA PAYOH,EAST,EAST 7,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,Yes,1.333758,103.8739331,6.0809,0,1,0,0,0
156,CRESCENT GIRLS' SCHOOL,357 TANGLIN ROAD,247961,BUKIT MERAH,SOUTH,SOUTH 2,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,1.2933195,103.8175445,3.9186,0,1,0,0,0
157,GAN ENG SENG SCHOOL,1 HENDERSON ROAD,159561,BUKIT MERAH,SOUTH,SOUTH 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,1.2890711,103.8237337,3.1408,0,1,0,0,0
158,QUEENSWAY SECONDARY SCHOOL,2A MARGARET DRIVE,149295,QUEENSTOWN,SOUTH,SOUTH 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,1.3002227,103.8022073,5.7743,0,1,0,0,0
