,school_name,address,postal_code,dgp_code,zone_code,cluster_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,sch_lat,sch_lon,dist_centre,type_primary,type_secondary,type_juniorcollege,type_polytechnic,type_university
332,MANJUSRI SECONDARY SCHOOL,20 UBI AVENUE 1,408940,GEYLANG,EAST,EAST 7,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,1.3274711,103.90172,7.3942,0,1,0,0,0
333,PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6,569845,ANG MO KIO,NORTH,NORTH 6,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,1.3820119,103.8431494,10.9524,0,1,0,0,0
334,FAIRFIELD METHODIST SCHOOL (SECONDARY),102 DOVER ROAD,139649,QUEENSTOWN,SOUTH,SOUTH 2,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,1.3016337,103.7840996,7.7502,0,1,0,0,0
335,NGEE ANN SECONDARY SCHOOL,1 TAMPINES STREET 32,529283,TAMPINES,EAST,EAST 6,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,1.3544746,103.9567463,14.0923,0,1,0,0,0
344,SINGAPORE POLYTECHNIC,500 DOVER ROAD,139651,CLEMENTI,WEST,,,,,POLYTECHNIC,No,No,No,No,1.311039,103.7767958,8.8387,0,0,0,1,0
345,NGEE ANN POLYTECHNIC,535 CLEMENTI RD,599489,CENTRAL,WEST,,,,,POLYTECHNIC,No,No,No,No,1.3324806,103.7733059,10.2375,0,0,0,1,0
346,TEMASEK POLYTECHNIC,21 TAMPINES AVENUE 1,529757,TAMPINES,EAST,,,,,POLYTECHNIC,No,No,No,No,1.3467555,103.9290816,11.1044,0,0,0,1,0
347,REPUBLIC POLYTECHNIC,9 WOODLANDS AVENUE 9,738964,WOODLANDS,NORTH,,,,,POLYTECHNIC,No,No,No,No,1.4449682,103.7853624,19.3663,0,0,0,1,0
348,NANYANG POLYTECHNIC,180 ANG MO KIO AVE 8,569830,ANG MO KIO,NORTH,,,,,POLYTECHNIC,No,No,No,No,1.3776128,103.8500314,10.4249,0,0,0,1,0
349,NATIONAL UNIVERSITY OF SINGAPORE,21 LOWER KENT RIDGE ROAD,119077,CLEMENTI,WEST,,,,,UNIVERSITY,No,No,No,No,1.2935017,103.7742639,8.6549,0,0,0,0,1
350,NANYANG TECHNOLOGICAL UNIVERSITY,50 NANYANG AVENUE,639798,JURONG WEST,WEST,,,,,UNIVERSITY,No,No,No,No,1.3529494,103.6892235,19.6117,0,0,0,0,1
351,SINGAPORE MANAGEMENT UNIVERSITY,81 VICTORIA STREET,188065,TANJONG PAGAR,SOUTH,,,,,UNIVERSITY,No,No,No,No,1.2968465,103.8522079,1.4422,0,0,0,0,1
352,SINGAPORE UNIVERSITY OF DESIGN,8 SOMAPAH ROAD,487372,TAMPINES,EAST,,,,,UNIVERSITY,No,No,No,No,1.3497254,103.684368,19.9754,0,0,0,0,1
